㓝	113225
刑	113225
刓	113525
次	113534
戎	113543
忈	114544
动	115453
邘	115552
圩	121115
圬	121115
圭	121121
圷	121124
㒫	121135
寺	121154
圵	121211
卍	121212
卋	121221
吉	121251
圸	121252
圲	121312
圪	121315
圫	121315
老	121315
考	121315
圳	121322
㣉	121333
圴	121354
巩	121354
圹	121413
赱	121434
㔺	121512
圮	121515
圯	121515
地	121525
邛	121552
耳	122111
共	122134
䒙	122211
亚	122431
芗	122553
朼	123415
朽	123415
朾	123415
桺	123415
朴	123424
朲	123434
朳	123434
杁	123434
㭁	123435
朹	123435
机	123435
朻	123452
朷	123453
朸	123453
权	123454
辻	124554
亘	125111
乬	125115
巪	125115
再	125121
臣	125125
吏	125134
㐓	125155
襾	125221
覀	125221
朿	125234
両	125252
㐁	125341
协	125344
西	125351
攰	125453
㕃	131132
压	131214
厌	131344
厍	131512
戌	131543
厊	131553
㕄	131554
在	132121
㔻	132412
百	132511
乭	132515
而	132522
页	132534
存	132551
匠	133125
㕂	133415
有	133511
夸	134115
圶	134121
㚏	134132
㚐	134134
夶	134134
夺	134154
䂖	134251
夻	134251
㞭	134252
夼	134322
灰	134334
夵	134534
戍	134543
㝼	135115
匢	135335
尥	135354
㱙	135415
死	135415
列	135425
亙	135441
成	135543
匟	141355
夹	143134
扞	151112
扜	151115
扝	151115
扗	151121
扛	151121
扙	151134
扤	151135
扪	151245
㧇	151251
扟	151251
扣	151251
㧆	151252
扦	151312
托	151315
扢	151315
扥	151315
扚	151354
执	151354
扩	151413
扫	151511
毕	151512
㐂	151515
㧈	151515
扡	151525
夷	151534
扨	151534
扠	151544
轨	152135
旨	152511
攷	153134
尧	153135
至	154121
划	154325
丠	211151
䒓	211215
艼	211215
䒔	211234
艾	211234
艽	211235
艿	211235
芁	211235
䒒	211251
艻	211253
芀	211253
尗	211534
此	212115
卐	212121
屷	212235
乩	212515
贞	212534
虍	215315
光	243135
壮	244121
妆	244531
闫	245111
闬	245112
闭	245153
问	245251
闯	245551
早	251112
旪	251112
㫐	251115
吁	251115
叿	251121
吐	251121
吓	251124
㕦	251134
㬰	251134
旯	251135
㫑	251153
旫	251153
曳	251153
吋	251154
虫	251214
㐕	251215
曲	251221
冎	251225
吅	251251
同	251251
吕	251251
吊	251252
㕜	251254
吀	251312
吃	251315
吒	251315
㘟	251321
因	251341
㕨	251354
吖	251432
㕧	251513
吔	251525
团	251531
団	251541
吇	251551
吗	251551
吆	251554
屽	252112
㞬	252121
屸	252121
屼	252135
屿	252151
屾	252252
岀	252252
屹	252315
㠶	252335
㞩	252354
㞮	252354
岁	252354
帆	252354
回	252511
屺	252515
岂	252515
岃	252533
㠴	252534
屻	252534
㞨	252551
邖	252552
则	253425
刚	253425
网	253434
肉	253434
囡	255311
囝	255511
钆	311155
钇	311155
年	311212
朱	311234
耒	311234
缶	311252
㓞	311253
刏	311525
氘	311532
気	311534
㲌	311535
氖	311535
㔕	311553
劧	311553
牝	312115
先	312135
㸨	312152
牞	312153
丢	312154
竹	312315
圱	313121
乔	313432
䢴	313552
毎	315531
任	321121
仼	321121
伕	321134
㐾	321135
伟	321152
印	321152
伝	321154
传	321154
乒	321213
乓	321214
休	321234
伍	321251
伂	321252
伎	321254
伓	321324
㑀	321344
伏	321344
伛	321345
仮	321354
伖	321354
优	321354
伌	321355
臼	321511
伡	321512
华	321512
仳	321515
伅	321525
伐	321543
仾	321551
伢	321553
仲	322512
㐻	322534
伣	322535
仵	323112
件	323112
仹	323112
㐹	323115
㐿	323115
仸	323134
伤	323153
伥	323154
㐺	323234
㐼	323312
伒	323312
乑	323334
仱	323415
价	323432
伦	323435
份	323453
伀	323454
伧	323455
仴	323511
伨	323511
伜	323512
伆	323533
㐸	323534
㐽	323534
仰	323552
伇	323554
伋	323554
伩	324134
伉	324135
仿	324153
伞	324312
伙	324334
伪	324354
伫	324451
伔	324535
伈	324544
自	325111
伊	325113
癿	325115
甶	325121
伬	325134
伄	325152
血	325221
向	325251
囟	325341
仯	325343
伃	325455
㲻	325534
后	331251
劤	331253
行	332115
㣕	332134
彴	332354
彵	332525
甪	335112
㐆	335115
舟	335441
全	341121
关	341134
会	341154
仺	341211
杀	341234
合	341251
企	342121
㒲	342511
乯	343155
众	343434
爷	343452
䏌	343544
兆	344534
㣻	344544
込	344554
弚	345152
兇	345235
㠩	345325
兊	345435
创	345525
氽	345534
汆	345534
刖	351125
凨	351154
凩	351234
朵	351234
朶	351234
杂	351234
夙	351354
危	351355
氒	351512
凪	352121
旬	352511
旭	352511
旮	352511
负	352534
犴	353112
犲	353153
犵	353315
刎	353325
犱	353354
犳	353354
犷	353413
匈	353452
乮	353525
犸	353551
刐	354125
夅	354152
舛	354152
各	354251
名	354251
㣊	354333
㶡	354334
灳	354334
多	354354
肌	354435
肍	354435
㐑	354445
肋	354453
奿	354531
凫	354535
邜	354552
辸	354554
争	355115
色	355215
饦	355315
尕	355534
㐔	412515
㡰	413115
庄	413121
庆	413134
衤	413234
礼	413245
㡯	413315
㡱	413354
庅	413354
刘	413425
齐	413432
交	413434
㐫	413452
㓙	413452
亦	413534
衣	413534
邝	413552
劥	413553
䇂	414312
产	414313
産	414315
顔	414315
吂	415251
㠵	415252
巟	415325
㫃	415334
亥	415334
妄	415531
邙	415552
忓	424112
忕	424134
忖	424154
忏	424312
忔	424315
忛	424351
㣿	424354
忙	424415
忋	424515
忚	424525
㣼	424534
㣾	424544
羊	431112
并	431132
师	431252
屰	431523
米	431534
灯	433415
灲	433425
㶢	433435
灮	433435
灱	433453
州	434242
汣	441354
冱	441551
冴	441553
冲	442512
㓇	443134
兴	443134
㓆	443435
汗	444112
汙	444115
汚	444115
污	444115
江	444121
汢	444121
汏	444134
汛	444251
汕	444252
汘	444312
汑	444315
汔	444315
汌	444322
汋	444354
汍	444354
汎	444354
汐	444354
汷	444354
㲿	444413
汒	444415
汜	444515
池	444525
汝	444531
㲽	444534
汊	444544
汓	444551
宇	445115
决	445134
守	445154
宅	445315
㝌	445354
穵	445355
宆	445515
安	445531
冰	445534
字	445551
讲	451132
讳	451152
讴	451345
军	451512
讶	451553
讷	452534
许	453112
讹	453215
䜣	453312
论	453435
讻	453452
讼	453454
农	453534
讽	453534
肎	453544
设	453554
访	454153
诀	455134
聿	511112
㚑	511134
寻	511154
